user_id,user_gender,user_age,user_occupation,user_income_range,referral_code_used,user_income_source,Saham_AUM,Saham_invested_amount
162882,Female,51,Swasta,> Rp 500 Juta - 1 Miliar,non referal,Gaji,1,2250000.0
3485491,Female,55,Others,> Rp 50 Juta - 100 Juta,non referal,Gaji,1,3730000.0
1071649,Male,50,Swasta,Rp 10 Juta - 50 Juta,non referal,Gaji,1,50000.0
3816789,Female,53,IRT,> Rp 50 Juta - 100 Juta,non referal,Gaji,1,249259.25925925927
3802293,Female,47,PNS,> Rp 500 Juta - 1 Miliar,used referral,Gaji,1,8601923.076923076
3049927,Male,53,Swasta,< 10 Juta,non referal,Gaji,1,32857.142857142855
1407611,Male,56,Swasta,> Rp 100 Juta - 500 Juta,non referal,Keuntungan Bisnis,1,575555.5555555555
3836491,Male,59,Others,< 10 Juta,used referral,Lainnya,0,0.0
3783302,Male,57,Swasta,> Rp 50 Juta - 100 Juta,non referal,Gaji,1,173437.5
3718933,Male,50,Pengusaha,> Rp 100 Juta - 500 Juta,non referal,Keuntungan Bisnis,1,489642.85714285716
3820348,Male,47,Pengusaha,> Rp 100 Juta - 500 Juta,non referal,Gaji,1,240000.0
3820160,Female,58,IRT,> Rp 50 Juta - 100 Juta,used referral,Dari Orang Tua / Anak,1,51923.07692307692
3770075,Male,54,Swasta,< 10 Juta,non referal,Gaji,0,0.0
3802815,Female,53,IRT,> Rp 100 Juta - 500 Juta,non referal,Dari Orang Tua / Anak,1,170000.0
3777767,Male,57,Others,Rp 10 Juta - 50 Juta,non referal,Gaji,1,9285.714285714286
3722610,Male,50,Swasta,> Rp 100 Juta - 500 Juta,non referal,Gaji,1,1258064.5161290322
3519434,Female,47,IRT,< 10 Juta,non referal,Gaji,1,148837.2093023256
3799837,Female,51,IRT,< 10 Juta,used referral,Keuntungan Bisnis,0,0.0
3759446,Female,57,IRT,< 10 Juta,used referral,Keuntungan Bisnis,0,0.0
3178869,Female,51,Swasta,< 10 Juta,non referal,Undian,0,0.0
3787202,Female,53,Swasta,> Rp 100 Juta - 500 Juta,non referal,Gaji,1,6378129.564102564
3783208,Female,47,PNS,Rp 10 Juta - 50 Juta,non referal,Gaji,0,0.0
3744989,Male,57,Swasta,> Rp 50 Juta - 100 Juta,non referal,Gaji,1,30000.0
2704072,Male,53,PNS,> Rp 100 Juta - 500 Juta,non referal,Gaji,1,138750.0
62039,Male,47,Swasta,> Rp 100 Juta - 500 Juta,used referral,Gaji,1,370000.0
2654591,Female,51,PNS,< 10 Juta,non referal,Gaji,0,0.0
3548593,Female,55,IRT,Rp 10 Juta - 50 Juta,used referral,Keuntungan Bisnis,0,0.0
3792092,Female,52,Pensiunan,Rp 10 Juta - 50 Juta,used referral,Tabungan,1,39623958.868421055
3837099,Male,54,Pengusaha,> Rp 50 Juta - 100 Juta,non referal,Gaji,0,0.0
3651209,Female,53,Swasta,Rp 10 Juta - 50 Juta,non referal,Gaji,0,0.0
3852426,Male,59,Pengusaha,> Rp 50 Juta - 100 Juta,non referal,Keuntungan Bisnis,1,10000000.0
3676660,Male,47,Pengusaha,< 10 Juta,non referal,Keuntungan Bisnis,1,160000.0
